Label,KPR,KPRW,DPR,DPRW,RWK,RWMK,PRR,SBTPR,TDPR,TDP,ODTP,ASPR,SR,STPR,TKPR,TKP,AKP,DPK,OKPR,ODPR,OA,OS,WAOK,ATPR,CPPR,LAP,WP1V1,TAPR,SPRL,SKPR,SKP,RWSKP,SMKR,SOKPR,UDPR,UKPR100,FTPR,FAPR,TOFPR
1,0.67,0.91,75.1,95.8,0.459,0.157,1.1,0.11,0.16,0.236,0.286,0.21,0.21,0.11,0.14,0.202,0.281,112,0.1,0.11,0.209,0.487,0.753,2.75,0.02,0.077,0.638,65,0.06,0,0.007,0.005,0.001,0.0005,5.27,0.82,0.61,0.03,1.85
1,0.94,1.26,97.4,125.3,0.564,0.26,1.48,0.11,0.15,0.226,0.251,0.21,0.159,0.17,0.19,0.204,0.233,104,0.17,0.12,0.287,0.581,0.753,3.06,0.02,0.059,0.585,67,0.071,0.02,0.016,0.012,0.005,0.002,3.53,0.52,0.43,0.01,1.86
1,0.69,0.9,73.6,90.8,0.475,0.166,1.07,0.12,0.15,0.225,0.31,0.21,0.216,0.13,0.16,0.234,0.304,107,0.09,0.09,0.181,0.5,0.669,2.72,0.02,0.101,0.767,65,0.072,0,0.003,0.001,0.0004,0,4.27,0.77,0.39,0.02,1.86
1,0.77,1.06,82,107.3,0.512,0.194,1.13,0.1,0.13,0.194,0.278,0.19,0.175,0.12,0.16,0.202,0.256,106,0.13,0.11,0.236,0.543,0.735,2.81,0.02,0.106,0.593,61,0.073,0.01,0.008,0.007,0.002,0.0006,4.71,0.74,0.52,0.02,1.86
1,0.72,0.96,79.8,100.7,0.485,0.181,1.1,0.11,0.14,0.219,0.269,0.22,0.229,0.14,0.17,0.236,0.282,110,0.09,0.08,0.173,0.539,0.727,3,0.02,0.088,0.733,68,0.129,0.01,0.009,0.004,0.001,0.0005,5.49,0.82,0.46,0.03,1.86
1,0.72,0.98,77.8,99.1,0.483,0.18,1.26,0.09,0.14,0.196,0.232,0.19,0.18,0.1,0.12,0.171,0.256,108,0.11,0.11,0.215,0.503,0.745,2.7,0.02,0.077,0.712,61,0.039,0,0.006,0.003,0.0005,0,3.72,0.66,0.38,0.02,1.87
1,0.69,0.95,75.8,98,0.47,0.167,1.1,0.08,0.11,0.164,0.223,0.17,0.197,0.11,0.14,0.208,0.256,110,0.09,0.09,0.175,0.504,0.719,2.98,0.02,0.107,0.559,67,0.067,0.01,0.011,0.007,0.002,0.0005,4.35,0.99,0.4,0.02,1.87
1,0.7,0.96,78.6,100,0.483,0.172,1.03,0.09,0.13,0.191,0.272,0.21,0.201,0.11,0.15,0.215,0.272,113,0.09,0.09,0.181,0.518,0.656,2.99,0.03,0.126,0.559,65,0.084,0,0.007,0.005,0.0006,0.001,4.42,0.88,0.49,0.02,1.87
1,0.68,0.97,77.2,102.7,0.467,0.166,1.03,0.09,0.13,0.187,0.22,0.19,0.196,0.1,0.13,0.185,0.244,113,0.11,0.1,0.214,0.51,0.7,2.78,0.02,0.101,0.53,65,0.088,0,0.005,0.004,0.0002,0.0003,4.29,0.66,0.5,0.02,1.87
0,0.61,0.83,70.5,89.4,0.44,0.134,1.02,0.11,0.14,0.215,0.29,0.2,0.244,0.11,0.13,0.205,0.263,115,0.09,0.09,0.174,0.5,0.69,2.7,0.02,0.111,0.596,67,0.086,0,0.006,0.003,0.002,0,3.54,0.51,0.47,0.02,1.88
0,0.68,0.92,71.5,93.4,0.46,0.164,1.12,0.1,0.12,0.18,0.214,0.16,0.193,0.11,0.14,0.208,0.25,106,0.08,0.1,0.188,0.443,0.722,2.4,0.02,0.08,0.622,65,0.069,0,0.003,0.002,0.0003,0,3.55,0.72,0.48,0.02,1.88
0,0.66,0.9,73,92.7,0.46,0.156,1.22,0.1,0.13,0.192,0.27,0.19,0.203,0.12,0.14,0.217,0.279,111,0.08,0.09,0.17,0.475,0.718,2.72,0.03,0.113,0.5,61,0.072,0.04,0.055,0.027,0.008,0.008,4.04,0.54,0.41,0.03,1.88
1,0.72,0.95,75.8,95.3,0.477,0.177,1.21,0.11,0.14,0.22,0.32,0.18,0.217,0.14,0.17,0.24,0.287,105,0.08,0.08,0.156,0.517,0.746,2.75,0.03,0.11,0.529,69,0.068,0,0.003,0.002,0.0004,0,4.6,0.81,0.42,0.03,1.88
1,0.74,1.05,81.4,109.2,0.487,0.185,1.18,0.13,0.17,0.24,0.271,0.22,0.181,0.12,0.14,0.194,0.255,110,0.14,0.13,0.272,0.507,0.722,2.85,0.01,0.065,0.571,65,0.077,0,0.006,0.003,0.0009,0.0001,3.94,0.81,0.28,0.01,1.89
0,0.64,0.92,70.4,93.3,0.44,0.151,1.13,0.11,0.13,0.19,0.283,0.17,0.201,0.11,0.16,0.244,0.271,110,0.07,0.1,0.169,0.435,0.725,2.54,0.02,0.11,0.649,65,0.087,0,0.003,0.002,0,0,4.52,0.57,0.53,0.03,1.89
0,0.63,0.88,71.5,94.7,0.446,0.142,0.92,0.11,0.14,0.205,0.224,0.21,0.209,0.11,0.14,0.219,0.288,113,0.09,0.11,0.202,0.467,0.687,2.94,0.02,0.106,0.73,65,0.067,0,0.007,0.004,0.0008,0.0004,5.79,0.81,0.57,0.03,1.89
1,0.69,1,77.9,105.6,0.459,0.171,1.08,0.1,0.13,0.195,0.231,0.21,0.211,0.09,0.12,0.173,0.244,113,0.13,0.13,0.25,0.5,0.725,2.83,0.02,0.077,0.6,63,0.089,0,0.005,0.003,0.001,0.0006,3.78,0.75,0.53,0.02,1.9
0,0.64,0.85,68.4,87.9,0.455,0.144,0.88,0.11,0.15,0.219,0.342,0.16,0.209,0.13,0.17,0.262,0.274,107,0.07,0.07,0.133,0.499,0.696,2.52,0.02,0.114,0.479,66,0.077,0,0.001,0,0,0.0002,3.22,0.78,0.17,0.01,1.91
0,0.62,0.84,66.9,85.1,0.44,0.143,1,0.14,0.16,0.222,0.288,0.18,0.191,0.14,0.16,0.252,0.326,108,0.09,0.09,0.182,0.49,0.613,2.43,0.01,0.101,0.5,64,0.062,0.09,0.147,0.069,0.02,0.02,4.03,0.88,0.43,0.03,1.91
1,0.69,0.94,75.5,96.5,0.476,0.162,1.14,0.09,0.11,0.171,0.239,0.19,0.222,0.13,0.15,0.225,0.286,110,0.08,0.07,0.156,0.521,0.712,3.02,0.03,0.136,0.632,69,0.115,0,0.004,0.002,0.0005,0,4.51,0.61,0.53,0.03,1.91
1,0.71,1,77.4,103.5,0.473,0.176,1.24,0.11,0.15,0.224,0.261,0.18,0.183,0.11,0.14,0.194,0.238,109,0.1,0.12,0.219,0.475,0.724,2.75,0.02,0.101,0.653,63,0.069,0.01,0.011,0.008,0.0009,0.0007,4.23,0.74,0.59,0.03,1.91
